gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0022200814,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (10:11 PM EST),period,start,0,0,1
0022200814,4,PT12M00.00S,1,1610612744,GSW,1630228,Kuminga,J. Kuminga,0,0,0,,0,,,0,h,Jump Ball Kuminga vs. Jay. Williams: Tip to Giddey,Jump Ball,,1,0,2
0022200814,7,PT11M44.00S,1,1610612760,OKC,1631114,Williams,J. Williams,-55,49,7,Made,1,0,2,2,v,Jal. Williams 7' Fadeaway Jumper (2 PTS),Made Shot,Fadeaway Jump Shot,1,2,3
0022200814,8,PT11M22.00S,1,1610612744,GSW,203952,Wiggins,A. Wiggins,-131,72,15,Made,1,2,2,4,h,Wiggins 15' Jump Shot (2 PTS) (Poole 1 AST),Made Shot,Jump Shot,1,2,4
0022200814,10,PT11M11.00S,1,1610612760,OKC,1631119,Williams,J. Williams,-140,227,27,Made,1,2,5,7,v,Jay. Williams 27' 3PT Jump Shot (3 PTS) (Giddey 1 AST),Made Shot,Jump Shot,1,3,5
0022200814,12,PT10M58.00S,1,1610612744,GSW,1629673,Poole,J. Poole,217,172,28,Missed,1,,,0,h,MISS Poole 28' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,6
0022200814,13,PT10M55.00S,1,1610612760,OKC,1631114,Williams,J. Williams,0,0,0,,0,,,0,v,Jal. Williams REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,7
0022200814,14,PT10M48.00S,1,1610612760,OKC,1630598,Wiggins,A. Wiggins,-50,0,5,Made,1,2,7,9,v,Wiggins 5' Cutting Layup Shot (2 PTS) (Gilgeous-Alexander 1 AST),Made Shot,Cutting Layup Shot,1,2,8
0022200814,16,PT10M41.00S,1,1610612744,GSW,202691,Thompson,K. Thompson,161,64,17,Missed,1,,,0,h,MISS Thompson 17' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,9
0022200814,17,PT10M39.00S,1,1610612760,OKC,1630581,Giddey,J. Giddey,0,0,0,,0,,,0,v,Giddey REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,10
0022200814,18,PT10M24.00S,1,1610612760,OKC,1630581,Giddey,J. Giddey,-110,256,28,Missed,1,,,0,v,MISS Giddey 28' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,11
0022200814,19,PT10M20.00S,1,1610612744,GSW,1630228,Kuminga,J. Kuminga,0,0,0,,0,,,0,h,Kuminga REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,12
0022200814,20,PT10M08.00S,1,1610612744,GSW,1630228,Kuminga,J. Kuminga,176,6,18,Missed,1,,,0,h,MISS Kuminga 18' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,13
0022200814,21,PT10M06.00S,1,1610612760,OKC,1630581,Giddey,J. Giddey,0,0,0,,0,,,0,v,Giddey REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,14
0022200814,22,PT09M58.00S,1,1610612760,OKC,1628983,Gilgeous-Alexander,S. Gilgeous-Alexander,34,22,4,Made,1,2,9,11,v,Gilgeous-Alexander 4' Driving Layup (2 PTS) (Giddey 2 AST),Made Shot,Driving Layup Shot,1,2,15
0022200814,23,PT09M57.00S,1,0,,1610612744,,,0,0,0,,0,,,0,h,WARRIORS Timeout: Regular (Full 1 Short 0),Timeout,Regular,0,0,16
0022200814,25,PT09M45.00S,1,1610612744,GSW,202691,Thompson,K. Thompson,91,177,20,Made,1,4,9,13,h,Thompson 20' Jump Shot (2 PTS) (Kuminga 1 AST),Made Shot,Jump Shot,1,2,17
0022200814,27,PT09M31.00S,1,1610612760,OKC,1631114,Williams,J. Williams,-61,94,11,Missed,1,,,0,v,MISS Jal. Williams 11' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,18
0022200814,28,PT09M28.00S,1,1610612744,GSW,1629673,Poole,J. Poole,0,0,0,,0,,,0,h,Poole REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,19
0022200814,29,PT09M19.00S,1,1610612744,GSW,1630228,Kuminga,J. Kuminga,22,57,6,Missed,1,,,0,h,MISS Kuminga 6' Driving Layup,Missed Shot,Driving Layup Shot,1,2,20
0022200814,29,PT09M19.00S,1,1610612760,OKC,1630581,Giddey,J. Giddey,0,0,0,,0,,,0,v,Giddey BLOCK (1 BLK),,,1,2,21
0022200814,31,PT09M17.00S,1,1610612760,OKC,1630581,Giddey,J. Giddey,0,0,0,,0,,,0,v,Giddey REBOUND (Off:0 Def:3),Rebound,Unknown,1,0,22
0022200814,32,PT09M12.00S,1,1610612760,OKC,1628983,Gilgeous-Alexander,S. Gilgeous-Alexander,4,83,8,Made,1,4,11,15,v,Gilgeous-Alexander 8' Turnaround Jump Shot (4 PTS),Made Shot,Turnaround Jump Shot,1,2,23
0022200814,33,PT08M59.00S,1,1610612744,GSW,1630228,Kuminga,J. Kuminga,32,19,4,Made,1,6,11,17,h,Kuminga 4' Alley Oop Dunk (2 PTS) (D. Green 1 AST),Made Shot,Alley Oop Dunk Shot,1,2,24
0022200814,35,PT08M45.00S,1,1610612760,OKC,1630581,Giddey,J. Giddey,0,0,0,,0,,,0,v,Giddey Bad Pass Turnover (P1.T1),Turnover,Bad Pass,1,0,25
0022200814,35,PT08M45.00S,1,1610612744,GSW,203110,Green,D. Green,0,0,0,,0,,,0,h,D. Green STEAL (1 STL),,,1,0,26
