gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
22200071,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (7:11 PM EST),period,start,0,0,1
22200071,4,PT12M00.00S,1,1610612753,ORL,1629626,Bol,B. Bol,0,0,0,,0,0,0,0,h,Jump Ball Bol vs. Plumlee: Tip to Washington,Jump Ball,,1,0,2
22200071,7,PT11M37.00S,1,1610612766,CHA,1628372,Smith Jr.,D. Smith Jr.,-132,221,26,Missed,1,0,0,0,v,MISS Smith Jr. 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,3
22200071,8,PT11M34.00S,1,1610612753,ORL,203082,Ross,T. Ross,0,0,0,,0,0,0,0,h,Ross REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,4
22200071,9,PT11M16.00S,1,1610612753,ORL,1628976,Carter Jr.,W. Carter Jr.,5,21,2,Missed,1,0,0,0,h,MISS Carter Jr. 2' Driving Layup,Missed Shot,Driving Layup Shot,1,2,5
22200071,10,PT11M13.00S,1,1610612766,CHA,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,,0,0,0,0,v,Oubre Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,6
22200071,11,PT11M09.00S,1,1610612766,CHA,1626162,Oubre Jr.,K. Oubre Jr.,-107,59,12,Missed,1,0,0,0,v,MISS Oubre Jr. 12' Driving Layup,Missed Shot,Driving Layup Shot,1,2,7
22200071,12,PT11M04.00S,1,1610612766,CHA,203486,Plumlee,M. Plumlee,0,0,0,,0,0,0,0,v,Plumlee REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,8
22200071,13,PT11M03.00S,1,1610612766,CHA,203486,Plumlee,M. Plumlee,0,0,0,,0,0,0,0,v,Plumlee Bad Pass Turnover (P1.T1),Turnover,Bad Pass,1,0,9
22200071,13,PT11M03.00S,1,1610612753,ORL,1630532,Wagner,F. Wagner,0,0,0,,0,0,0,0,h,Wagner STEAL (1 STL),,,1,0,10
