gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
22300686,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (10:16 PM EST),period,start,0,0,1
22300686,4,PT12M00.00S,1,1610612762,UTA,1628381,Collins,J. Collins,0,0,0,,0,0,0,0,h,Jump Ball Collins vs. Reed: Tip to Maxey,Jump Ball,,1,0,2
22300686,7,PT11M48.00S,1,1610612755,PHI,202699,Harris,T. Harris,-229,-12,0,Missed,1,0,0,0,v,MISS Harris 3PT Jump Shot,Missed Shot,Jump Shot,1,3,3
22300686,8,PT11M45.00S,1,1610612762,UTA,1631323,Fontecchio,S. Fontecchio,0,0,0,,0,0,0,0,h,Fontecchio REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,4
22300686,9,PT11M36.00S,1,1610612762,UTA,1629012,Sexton,C. Sexton,0,0,0,,0,0,0,0,h,Sexton Lost Ball Turnover (P1.T1),Turnover,Lost Ball,1,0,5
22300686,9,PT11M36.00S,1,1610612755,PHI,202699,Harris,T. Harris,0,0,0,,0,0,0,0,v,Harris STEAL (1 STL),,,1,0,6
22300686,11,PT11M32.00S,1,1610612755,PHI,1630178,Maxey,T. Maxey,-183,182,26,Made,1,0,3,3,v,Maxey 26' 3PT Running Jump Shot (3 PTS) (Harris 1 AST),Made Shot,Running Jump Shot,1,3,7
22300686,13,PT11M20.00S,1,1610612755,PHI,202699,Harris,T. Harris,0,0,0,,0,0,3,3,v,Harris Violation:Kicked Ball (J.Tiven),Violation,Kicked Ball,0,0,8
22300686,14,PT11M13.00S,1,1610612762,UTA,1631323,Fontecchio,S. Fontecchio,-143,251,29,Missed,1,0,3,3,h,MISS Fontecchio 29' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,9
22300686,15,PT11M10.00S,1,1610612762,UTA,1628374,Markkanen,L. Markkanen,0,0,0,,0,0,3,3,h,Markkanen REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,10
22300686,16,PT11M07.00S,1,1610612762,UTA,1628381,Collins,J. Collins,228,21,0,Missed,1,0,3,3,h,MISS Collins 3PT Jump Shot,Missed Shot,Jump Shot,1,3,11
22300686,17,PT11M06.00S,1,0,,1610612755,,,0,0,0,,0,0,3,3,v,76ers Rebound,Rebound,Unknown,1,0,12
22300686,19,PT10M51.00S,1,1610612755,PHI,1630194,Reed,P. Reed,0,0,0,,0,0,3,3,v,Reed Lost Ball Turnover (P1.T1),Turnover,Lost Ball,1,0,13
22300686,19,PT10M51.00S,1,1610612762,UTA,1628374,Markkanen,L. Markkanen,0,0,0,,0,0,3,3,h,Markkanen STEAL (1 STL),,,1,0,14
22300686,21,PT10M48.00S,1,1610612755,PHI,1627863,House Jr.,D. House Jr.,0,0,0,,0,0,3,3,v,House Jr. S.FOUL (P1.T1) (N.Sago),Foul,Shooting,1,0,15
22300686,23,PT10M48.00S,1,1610612762,UTA,1628374,Markkanen,L. Markkanen,0,0,0,,0,1,3,4,h,Markkanen Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,16
22300686,24,PT10M48.00S,1,1610612762,UTA,1628374,Markkanen,L. Markkanen,0,0,0,,0,2,3,5,h,Markkanen Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,1,0,17
22300686,25,PT10M32.00S,1,1610612755,PHI,1630178,Maxey,T. Maxey,23,58,6,Made,1,2,5,7,v,Maxey 6' Driving Floating Jump Shot (5 PTS),Made Shot,Driving Floating Jump Shot,1,2,18
22300686,26,PT10M18.00S,1,1610612762,UTA,1629012,Sexton,C. Sexton,-12,79,8,Missed,1,2,5,7,h,MISS Sexton 8' Floating Jump Shot,Missed Shot,Floating Jump shot,1,2,19
22300686,26,PT10M18.00S,1,1610612755,PHI,1630194,Reed,P. Reed,0,0,0,,0,2,5,7,v,Reed BLOCK (1 BLK),,,1,2,20
22300686,28,PT10M15.00S,1,1610612755,PHI,1630194,Reed,P. Reed,0,0,0,,0,2,5,7,v,Reed REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,21
22300686,29,PT10M10.00S,1,1610612755,PHI,1630178,Maxey,T. Maxey,185,263,32,Made,1,2,8,10,v,Maxey 32' 3PT Jump Shot (8 PTS) (Oubre Jr. 1 AST),Made Shot,Jump Shot,1,3,22
22300686,31,PT09M48.00S,1,1610612762,UTA,1629012,Sexton,C. Sexton,74,252,26,Made,1,5,8,13,h,Sexton 26' 3PT Jump Shot (3 PTS) (Collins 1 AST),Made Shot,Jump Shot,1,3,23
22300686,33,PT09M35.00S,1,1610612755,PHI,1630178,Maxey,T. Maxey,61,72,9,Missed,1,5,8,13,v,MISS Maxey 9' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,24
22300686,34,PT09M33.00S,1,1610612762,UTA,1627739,Dunn,K. Dunn,0,0,0,,0,5,8,13,h,Dunn REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,25
22300686,35,PT09M30.00S,1,1610612762,UTA,1631323,Fontecchio,S. Fontecchio,-42,28,5,Made,1,7,8,15,h,Fontecchio 5' Running Layup (2 PTS) (Dunn 1 AST),Made Shot,Running Layup Shot,1,2,26
22300686,37,PT09M17.00S,1,1610612755,PHI,202699,Harris,T. Harris,-85,227,24,Missed,1,7,8,15,v,MISS Harris 24' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,27
22300686,38,PT09M15.00S,1,1610612755,PHI,1630194,Reed,P. Reed,0,0,0,,0,7,8,15,v,Reed REBOUND (Off:1 Def:1),Rebound,Unknown,1,0,28
22300686,39,PT09M12.00S,1,1610612755,PHI,1630178,Maxey,T. Maxey,-15,13,2,Made,1,7,10,17,v,Maxey 2' Driving Layup (10 PTS) (Reed 1 AST),Made Shot,Driving Layup Shot,1,2,29
22300686,41,PT09M03.00S,1,1610612762,UTA,1628374,Markkanen,L. Markkanen,44,249,25,Missed,1,7,10,17,h,MISS Markkanen 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,30
22300686,42,PT09M00.00S,1,1610612762,UTA,1631323,Fontecchio,S. Fontecchio,0,0,0,,0,7,10,17,h,Fontecchio REBOUND (Off:1 Def:1),Rebound,Unknown,1,0,31
22300686,43,PT08M58.00S,1,1610612762,UTA,1627739,Dunn,K. Dunn,-134,249,28,Made,1,10,10,20,h,Dunn 28' 3PT Jump Shot (3 PTS) (Fontecchio 1 AST),Made Shot,Jump Shot,1,3,32
22300686,45,PT08M33.00S,1,1610612755,PHI,202699,Harris,T. Harris,108,46,12,Made,1,10,12,22,v,Harris 12' Step Back Jump Shot (2 PTS) (Reed 2 AST),Made Shot,Step Back Jump shot,1,2,33
22300686,47,PT08M24.00S,1,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,,0,10,12,22,v,Oubre Jr. P.FOUL (P1.T2) (J.Tiven),Foul,Personal,1,0,34
22300686,49,PT08M10.00S,1,1610612762,UTA,1628374,Markkanen,L. Markkanen,-21,80,8,Made,1,12,12,24,h,Markkanen 8' Fadeaway Jumper (4 PTS) (Sexton 1 AST),Made Shot,Fadeaway Jump Shot,1,2,35
22300686,51,PT07M51.00S,1,1610612755,PHI,202699,Harris,T. Harris,-21,-1,2,Made,1,12,14,26,v,Harris 2' Driving Layup (4 PTS),Made Shot,Driving Layup Shot,1,2,36
22300686,53,PT07M37.00S,1,1610612762,UTA,1627739,Dunn,K. Dunn,0,0,0,,0,12,14,26,h,Dunn Bad Pass Turnover (P1.T2),Turnover,Bad Pass,1,0,37
22300686,53,PT07M37.00S,1,1610612755,PHI,1627863,House Jr.,D. House Jr.,0,0,0,,0,12,14,26,v,House Jr. STEAL (1 STL),,,1,0,38
22300686,55,PT07M31.00S,1,1610612755,PHI,202699,Harris,T. Harris,-48,32,6,Made,1,12,16,28,v,Harris 6' Running Layup (6 PTS) (House Jr. 1 AST),Made Shot,Running Layup Shot,1,2,39
22300686,57,PT07M17.00S,1,1610612762,UTA,1629012,Sexton,C. Sexton,38,37,5,Made,1,14,16,30,h,Sexton 5' Driving Layup (5 PTS),Made Shot,Driving Layup Shot,1,2,40
22300686,58,PT07M02.00S,1,1610612755,PHI,1630178,Maxey,T. Maxey,126,209,24,Made,1,14,19,33,v,Maxey 24' 3PT Step Back Jump Shot (13 PTS) (House Jr. 2 AST),Made Shot,Step Back Jump shot,1,3,41
22300686,60,PT06M45.00S,1,1610612762,UTA,1627739,Dunn,K. Dunn,-22,12,3,Missed,1,14,19,33,h,MISS Dunn 3' Layup,Missed Shot,Layup Shot,1,2,42
22300686,61,PT06M42.00S,1,1610612755,PHI,202699,Harris,T. Harris,0,0,0,,0,14,19,33,v,Harris REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,43
22300686,62,PT06M28.00S,1,1610612755,PHI,1630178,Maxey,T. Maxey,-165,206,26,Made,1,14,22,36,v,Maxey 26' 3PT Pullup Jump Shot (16 PTS),Made Shot,Pullup Jump shot,1,3,44
