gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
22400795,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (9:36 PM EST),period,start,0,0,1
22400795,4,PT12M00.00S,1,1610612759,SAS,202687,Biyombo,B. Biyombo,0,0,0,,0,0,0,0,h,Jump Ball Biyombo vs. Richards: Tip to Jones,Jump Ball,,1,0,2
22400795,7,PT11M47.00S,1,1610612756,PHX,201142,Durant,K. Durant,108,130,17,Missed,1,0,0,0,v,MISS Durant 17' Jump Shot,Missed Shot,Jump Shot,1,2,3
22400795,8,PT11M44.00S,1,1610612759,SAS,202687,Biyombo,B. Biyombo,0,0,0,,0,0,0,0,h,Biyombo REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,4
22400795,9,PT11M30.00S,1,1610612759,SAS,1628368,Fox,D. Fox,-223,2,0,Made,1,3,0,3,h,Fox 3PT Jump Shot (3 PTS) (Paul 1 AST),Made Shot,Jump Shot,1,3,5
22400795,11,PT11M08.00S,1,1610612756,PHX,1626145,Jones,T. Jones,225,4,0,Missed,1,3,0,3,v,MISS Jones 3PT Jump Shot,Missed Shot,Jump Shot,1,3,6
22400795,12,PT11M05.00S,1,1610612756,PHX,1630208,Richards,N. Richards,0,0,0,,0,3,0,3,v,Richards REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,7
22400795,13,PT11M01.00S,1,1610612756,PHX,1626220,O'Neale,R. O'Neale,178,173,25,Missed,1,3,0,3,v,MISS O'Neale 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,8
22400795,14,PT10M58.00S,1,1610612756,PHX,1630208,Richards,N. Richards,0,0,0,,0,3,0,3,v,Richards REBOUND (Off:2 Def:0),Rebound,Unknown,1,0,9
22400795,15,PT10M56.00S,1,1610612756,PHX,1630208,Richards,N. Richards,5,11,1,Missed,1,3,0,3,v,MISS Richards 1' Putback Dunk,Missed Shot,Putback Dunk Shot,1,2,10
22400795,16,PT10M56.00S,1,1610612759,SAS,1630170,Vassell,D. Vassell,0,0,0,,0,3,0,3,h,Vassell REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,11
22400795,17,PT10M48.00S,1,1610612759,SAS,101108,Paul,C. Paul,130,89,16,Made,1,5,0,5,h,Paul 16' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,1,2,12
22400795,18,PT10M37.00S,1,1610612756,PHX,201142,Durant,K. Durant,-192,160,25,Missed,1,5,0,5,v,MISS Durant 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,13
22400795,19,PT10M37.00S,1,1610612759,SAS,1628368,Fox,D. Fox,0,0,0,,0,5,0,5,h,Fox REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,14
22400795,20,PT10M24.00S,1,1610612759,SAS,203084,Barnes,H. Barnes,228,20,0,Made,1,8,0,8,h,Barnes 3PT Jump Shot (3 PTS) (Paul 2 AST),Made Shot,Jump Shot,1,3,15
22400795,22,PT10M08.00S,1,1610612756,PHX,1626164,Booker,D. Booker,120,68,14,Missed,1,8,0,8,v,MISS Booker 14' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,16
22400795,23,PT10M08.00S,1,0,,1610612756,,,0,0,0,,0,8,0,8,v,Suns Rebound,Rebound,Unknown,0,0,17
22400795,25,PT10M05.00S,1,1610612756,PHX,201142,Durant,K. Durant,-140,21,14,Made,1,8,2,10,v,Durant 14' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,1,2,18
22400795,26,PT09M48.00S,1,1610612759,SAS,1628368,Fox,D. Fox,-42,32,5,Missed,1,8,2,10,h,MISS Fox 5' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,19
22400795,27,PT09M46.00S,1,1610612756,PHX,1630208,Richards,N. Richards,0,0,0,,0,8,2,10,v,Richards REBOUND (Off:2 Def:1),Rebound,Unknown,1,0,20
22400795,28,PT09M41.00S,1,1610612756,PHX,1626164,Booker,D. Booker,69,29,7,Missed,1,8,2,10,v,MISS Booker 7' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,1,2,21
22400795,29,PT09M39.00S,1,1610612759,SAS,101108,Paul,C. Paul,0,0,0,,0,8,2,10,h,Paul REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,22
22400795,30,PT09M36.00S,1,1610612759,SAS,203084,Barnes,H. Barnes,-232,-21,0,Missed,1,8,2,10,h,MISS Barnes 3PT Running Jump Shot,Missed Shot,Running Jump Shot,1,3,23
22400795,31,PT09M32.00S,1,1610612756,PHX,1626220,O'Neale,R. O'Neale,0,0,0,,0,8,2,10,v,O'Neale REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,24
22400795,32,PT09M22.00S,1,1610612756,PHX,1626164,Booker,D. Booker,-71,154,17,Missed,1,8,2,10,v,MISS Booker 17' Jump Shot,Missed Shot,Jump Shot,1,2,25
22400795,33,PT09M17.00S,1,1610612759,SAS,202687,Biyombo,B. Biyombo,0,0,0,,0,8,2,10,h,Biyombo REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,26
22400795,34,PT09M10.00S,1,1610612759,SAS,101108,Paul,C. Paul,-100,229,25,Missed,1,8,2,10,h,MISS Paul 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,27
22400795,35,PT09M08.00S,1,1610612756,PHX,1630208,Richards,N. Richards,0,0,0,,0,8,2,10,v,Richards REBOUND (Off:2 Def:2),Rebound,Unknown,1,0,28
22400795,36,PT08M56.00S,1,1610612756,PHX,201142,Durant,K. Durant,-51,142,15,Made,1,8,4,12,v,Durant 15' Pullup Jump Shot (4 PTS) (Booker 1 AST),Made Shot,Pullup Jump shot,1,2,29
22400795,37,PT08M26.00S,1,1610612759,SAS,1630170,Vassell,D. Vassell,-81,79,11,Missed,1,8,4,12,h,MISS Vassell 11' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,30
22400795,38,PT08M26.00S,1,0,,1610612759,,,0,0,0,,0,8,4,12,h,SPURS Rebound,Rebound,Unknown,0,0,31
22400795,40,PT08M15.00S,1,1610612759,SAS,1630170,Vassell,D. Vassell,145,103,18,Made,1,10,4,14,h,Vassell 18' Pullup Jump Shot (2 PTS) (Biyombo 1 AST),Made Shot,Pullup Jump shot,1,2,32
22400795,41,PT07M57.00S,1,1610612756,PHX,1626145,Jones,T. Jones,125,218,25,Missed,1,10,4,14,v,MISS Jones 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,33
22400795,42,PT07M53.00S,1,1610612759,SAS,202687,Biyombo,B. Biyombo,0,0,0,,0,10,4,14,h,Biyombo REBOUND (Off:0 Def:3),Rebound,Unknown,1,0,34
22400795,43,PT07M31.00S,1,1610612759,SAS,203084,Barnes,H. Barnes,81,8,8,Missed,1,10,4,14,h,MISS Barnes 8' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,35
22400795,44,PT07M30.00S,1,1610612756,PHX,1626164,Booker,D. Booker,0,0,0,,0,10,4,14,v,Booker REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,36
22400795,45,PT07M26.00S,1,1610612756,PHX,1626220,O'Neale,R. O'Neale,-158,201,26,Made,1,10,7,17,v,O'Neale 26' 3PT Running Jump Shot (3 PTS) (Booker 2 AST),Made Shot,Running Jump Shot,1,3,37
22400795,57,PT06M56.00S,1,0,,1610612759,,,0,0,0,,0,10,7,17,h,SPURS Turnover: Shot Clock (T#1),Turnover,Shot Clock Turnover,0,0,38
22400795,48,PT06M41.00S,1,1610612756,PHX,1626145,Jones,T. Jones,-17,260,26,Missed,1,10,7,17,v,MISS Jones 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,39
