SEASON,GAME_ID,GAME_DATE
2022-23,0022200164,2022-11-09
2022-23,0022200165,2022-11-09
2022-23,0022200166,2022-11-09
2022-23,0022200167,2022-11-09
2022-23,0022200168,2022-11-09
2022-23,0022200169,2022-11-09
2022-23,0022200170,2022-11-09
2022-23,0022200171,2022-11-09
2022-23,0022200172,2022-11-10
2022-23,0022200173,2022-11-10
2022-23,0022200174,2022-11-10
2022-23,0022200175,2022-11-10
2022-23,0022200176,2022-11-11
2022-23,0022200177,2022-11-11
2022-23,0022200178,2022-11-11
2022-23,0022200179,2022-11-11
2022-23,0022200180,2022-11-11
2022-23,0022200181,2022-11-11
2022-23,0022200182,2022-11-11
2022-23,0022200183,2022-11-11
2022-23,0022200184,2022-11-12
2022-23,0022200185,2022-11-12
2022-23,0022200186,2022-11-12
2022-23,0022200187,2022-11-12
2022-23,0022200188,2022-11-12
2022-23,0022200189,2022-11-12
2022-23,0022200190,2022-11-12
2022-23,0022200191,2022-11-12
2022-23,0022200192,2022-11-13
2022-23,0022200193,2022-11-13
2022-23,0022200194,2022-11-13
2022-23,0022200195,2022-11-13
2022-23,0022200196,2022-11-13
2022-23,0022200197,2022-11-13
2022-23,0022200198,2022-11-13
2022-23,0022200199,2022-11-14
2022-23,0022200200,2022-11-14
2022-23,0022200201,2022-11-14
2022-23,0022200202,2022-11-14
2022-23,0022200203,2022-11-14
2022-23,0022200204,2022-11-14
2022-23,0022200205,2022-11-14
2022-23,0022200206,2022-11-15
2022-23,0022200207,2022-11-15
2022-23,0022200208,2022-11-15
2022-23,0022200209,2022-11-15
2022-23,0022200210,2022-11-15
2022-23,0022200211,2022-11-16
2022-23,0022200212,2022-11-16
2022-23,0022200213,2022-11-16
2022-23,0022200214,2022-11-16
2022-23,0022200215,2022-11-16
2022-23,0022200216,2022-11-16
2022-23,0022200217,2022-11-16
2022-23,0022200218,2022-11-16
2022-23,0022200219,2022-11-16
2022-23,0022200220,2022-11-16
2022-23,0022200221,2022-11-17
2022-23,0022200222,2022-11-17
2022-23,0022200223,2022-11-17
2022-23,0022200224,2022-11-18
2022-23,0022200225,2022-11-18
2022-23,0022200226,2022-11-18
2022-23,0022200227,2022-11-18
2022-23,0022200228,2022-11-18
2022-23,0022200229,2022-11-18
2022-23,0022200230,2022-11-18
2022-23,0022200231,2022-11-18
2022-23,0022200232,2022-11-18
2022-23,0022200233,2022-11-18
2022-23,0022200234,2022-11-18
2022-23,0022200235,2022-11-19
2022-23,0022200236,2022-11-19
2022-23,0022200237,2022-11-19
2022-23,0022200238,2022-11-19
2022-23,0022200239,2022-11-19
2022-23,0022200240,2022-11-20
2022-23,0022200241,2022-11-20
2022-23,0022200242,2022-11-20
2022-23,0022200243,2022-11-20
2022-23,0022200244,2022-11-20
2022-23,0022200245,2022-11-20
2022-23,0022200246,2022-11-20
2022-23,0022200247,2022-11-20
2022-23,0022200248,2022-11-21
2022-23,0022200249,2022-11-21
2022-23,0022200250,2022-11-21
2022-23,0022200251,2022-11-21
2022-23,0022200252,2022-11-21
2022-23,0022200253,2022-11-21
2022-23,0022200254,2022-11-21
2022-23,0022200255,2022-11-21
2022-23,0022200256,2022-11-22
2022-23,0022200257,2022-11-22
2022-23,0022200258,2022-11-22
2022-23,0022200259,2022-11-22
2022-23,0022200260,2022-11-23
2022-23,0022200261,2022-11-23
2022-23,0022200262,2022-11-23
2022-23,0022200263,2022-11-23
2022-23,0022200264,2022-11-23
2022-23,0022200265,2022-11-23
2022-23,0022200266,2022-11-23
2022-23,0022200267,2022-11-23
2022-23,0022200268,2022-11-23
2022-23,0022200269,2022-11-23
2022-23,0022200270,2022-11-23
2022-23,0022200271,2022-11-23
2022-23,0022200272,2022-11-25
2022-23,0022200273,2022-11-25
2022-23,0022200274,2022-11-25
2022-23,0022200275,2022-11-25
2022-23,0022200276,2022-11-25
2022-23,0022200277,2022-11-25
2022-23,0022200278,2022-11-25
2022-23,0022200279,2022-11-25
2022-23,0022200280,2022-11-25
2022-23,0022200281,2022-11-25
2022-23,0022200282,2022-11-25
2022-23,0022200283,2022-11-25
2022-23,0022200284,2022-11-25
2022-23,0022200285,2022-11-25
2022-23,0022200286,2022-11-26
2022-23,0022200287,2022-11-26
2022-23,0022200288,2022-11-26
2022-23,0022200289,2022-11-26
2022-23,0022200290,2022-11-27
2022-23,0022200291,2022-11-27
2022-23,0022200292,2022-11-27
2022-23,0022200293,2022-11-27
2022-23,0022200294,2022-11-27
2022-23,0022200295,2022-11-27
2022-23,0022200296,2022-11-27
2022-23,0022200297,2022-11-27
2022-23,0022200298,2022-11-27
2022-23,0022200299,2022-11-28
2022-23,0022200300,2022-11-28
2022-23,0022200301,2022-11-28
2022-23,0022200302,2022-11-28
2022-23,0022200303,2022-11-28
2022-23,0022200304,2022-11-28
2022-23,0022200305,2022-11-28
2022-23,0022200306,2022-11-28
2022-23,0022200307,2022-11-28
2022-23,0022200308,2022-11-28
2022-23,0022200309,2022-11-29
2022-23,0022200310,2022-11-29
2022-23,0022200311,2022-11-29
2022-23,0022200312,2022-11-30
2022-23,0022200313,2022-11-30
2022-23,0022200314,2022-11-30
2022-23,0022200315,2022-11-30
2022-23,0022200316,2022-11-30
2022-23,0022200317,2022-11-30
2022-23,0022200318,2022-11-30
2022-23,0022200319,2022-11-30
2022-23,0022200320,2022-11-30
2022-23,0022200321,2022-11-30
2022-23,0022200322,2022-11-30
2022-23,0022200323,2022-11-30
2022-23,0022200324,2022-11-30
2022-23,0022200325,2022-12-01
2022-23,0022200326,2022-12-02
2022-23,0022200327,2022-12-02
2022-23,0022200328,2022-12-02
2022-23,0022200329,2022-12-02
2022-23,0022200330,2022-12-02
2022-23,0022200331,2022-12-02
2022-23,0022200332,2022-12-02
2022-23,0022200333,2022-12-02
2022-23,0022200334,2022-12-02
2022-23,0022200335,2022-12-02
2022-23,0022200336,2022-12-02
2022-23,0022200337,2022-12-03
2022-23,0022200338,2022-12-03
2022-23,0022200339,2022-12-03
2022-23,0022200340,2022-12-03
2022-23,0022200341,2022-12-03
2022-23,0022200342,2022-12-03
2022-23,0022200343,2022-12-03
2022-23,0022200344,2022-12-04
2022-23,0022200345,2022-12-04
2022-23,0022200346,2022-12-04
2022-23,0022200347,2022-12-04
2022-23,0022200348,2022-12-04
2022-23,0022200349,2022-12-04
2022-23,0022200350,2022-12-04
